epoch,training loss,validation loss
0,34038.62771606445,6834.384628295898
1,26382.87954711914,6801.624862670898
2,26320.487228393555,6791.489074707031
3,26292.14616394043,6781.817108154297
4,26191.98243713379,6736.395767211914
5,26056.165771484375,6712.481979370117
6,25971.587951660156,6681.4383544921875
7,25795.229110717773,6623.424987792969
8,25595.722869873047,6580.42790222168
9,25457.2423248291,6560.719345092773
10,25384.322967529297,6540.212051391602
11,25298.90089416504,6521.4407958984375
12,25223.61524963379,6497.063705444336
13,25123.274673461914,6509.7667236328125
14,25078.685165405273,6473.713943481445
15,25040.39958190918,6455.094940185547
16,24991.407348632812,6454.704849243164
17,24919.41554260254,6455.790435791016
18,24889.1756439209,6420.134796142578
19,24897.809616088867,6420.058044433594
20,24847.417602539062,6447.009963989258
21,24846.510833740234,6414.231063842773
22,24803.851928710938,6418.298919677734
23,24765.898040771484,6406.2056884765625
24,24743.158920288086,6401.41015625
25,24733.019638061523,6405.655364990234
26,24693.010009765625,6423.321533203125
27,24702.644821166992,6390.520431518555
28,24664.006744384766,6397.163116455078
29,24643.53010559082,6382.899841308594
30,24630.872039794922,6385.031097412109
31,24625.57635498047,6383.025360107422
32,24623.534378051758,6380.057586669922
33,24615.732452392578,6370.705551147461
34,24630.064224243164,6371.171417236328
35,24589.810302734375,6369.647613525391
36,24594.9959564209,6377.424835205078
37,24590.227157592773,6374.53271484375
38,24568.473190307617,6377.374481201172
39,24576.080352783203,6369.168914794922
40,24556.7685546875,6370.169357299805
41,24556.304580688477,6365.685592651367
42,24546.104293823242,6363.402145385742
43,24537.38848876953,6370.284408569336
44,24567.013961791992,6365.634841918945
45,24533.384719848633,6366.087509155273
46,24525.91195678711,6364.959716796875
47,24527.16160583496,6364.03239440918
48,24536.984100341797,6372.294052124023
49,24523.644104003906,6362.755767822266
50,24505.952560424805,6368.055694580078
51,24527.518280029297,6365.865631103516
52,24518.24513244629,6363.430404663086
53,24497.10679626465,6363.272384643555
54,24508.640853881836,6367.585800170898
55,24513.29946899414,6367.824371337891
56,24519.5703125,6361.950012207031
57,24482.640029907227,6367.695220947266
58,24495.54364013672,6361.457550048828
59,24493.26678466797,6359.147048950195
60,24494.93096923828,6362.56364440918
61,24492.628051757812,6361.936904907227
62,24484.073776245117,6359.497299194336
63,24501.770782470703,6362.59260559082
64,24492.798263549805,6362.5599365234375
65,24486.555236816406,6359.998489379883
66,24486.038299560547,6359.472015380859
67,24511.462646484375,6360.732513427734
68,24488.87776184082,6359.911026000977
69,24512.654891967773,6359.354537963867
70,24513.024337768555,6358.483657836914
71,24498.462600708008,6358.499557495117
72,24505.097290039062,6358.163528442383
73,24504.36962890625,6358.425796508789
74,24487.83770751953,6358.661071777344
