epoch,training loss,validation loss
0,33678.446380615234,7352.195617675781
1,26087.19416809082,6199.746917724609
2,22647.031021118164,5610.329360961914
3,20717.1114654541,5186.796310424805
4,19587.69758605957,4936.455490112305
5,18838.80731201172,4795.560623168945
6,18251.65111541748,4653.838172912598
7,17859.20012664795,4568.240829467773
8,17659.647804260254,4523.280738830566
9,17473.486297607422,4481.430603027344
10,17320.140312194824,4500.24137878418
11,17176.497383117676,4402.507339477539
12,17008.395095825195,4407.031585693359
13,16745.459129333496,4285.274887084961
14,16662.104202270508,4299.263427734375
15,16491.781394958496,4262.913284301758
16,16381.4501953125,4221.204872131348
17,16294.409797668457,4233.741508483887
18,16223.529708862305,4170.70955657959
19,16146.427955627441,4169.496826171875
20,16087.171226501465,4167.626647949219
21,16055.561561584473,4166.830528259277
22,16018.368141174316,4126.221656799316
23,15965.829231262207,4139.881011962891
24,15941.410079956055,4121.773216247559
25,15907.186531066895,4113.219795227051
26,15875.963218688965,4111.441719055176
27,15844.460227966309,4138.65934753418
28,15811.881782531738,4106.683036804199
29,15792.482444763184,4110.394073486328
30,15757.32876586914,4086.958854675293
31,15746.72876739502,4085.325927734375
32,15717.669441223145,4090.8978958129883
33,15721.949546813965,4090.885597229004
34,15697.373481750488,4081.4237365722656
35,15688.415908813477,4088.587547302246
36,15661.554725646973,4097.382431030273
37,15654.042350769043,4076.856544494629
38,15642.265129089355,4103.615814208984
39,15637.957725524902,4066.975975036621
40,15617.719718933105,4073.793037414551
41,15605.255271911621,4070.1696243286133
42,15614.107147216797,4071.3696365356445
43,15581.460556030273,4068.7669372558594
44,15583.179824829102,4070.620780944824
45,15578.014961242676,4063.396530151367
46,15570.454879760742,4063.95841217041
47,15561.570137023926,4060.14510345459
48,15549.032585144043,4061.072151184082
49,15552.1372756958,4064.265251159668
