epoch,training loss,validation loss
0,1964246.759765625,404838.9453125
1,1962208.86328125,404840.2197265625
2,1962219.6064453125,404836.2958984375
3,1961773.8828125,404837.69140625
4,1962416.6513671875,404824.685546875
5,1962096.890625,404779.7646484375
6,1962729.3681640625,404752.865234375
7,1961046.6376953125,404735.5302734375
8,1962037.6435546875,404720.44921875
9,1960672.8896484375,404728.525390625
10,1960980.1826171875,404717.0
11,1960988.9677734375,404722.958984375
12,1960448.9423828125,404731.2578125
13,1959967.2138671875,404682.0234375
14,1961754.7314453125,404697.4384765625
15,1960365.28515625,404688.87109375
16,1960517.8173828125,404698.318359375
17,1960201.6240234375,404690.1181640625
18,1960144.3017578125,404689.4951171875
19,1960565.654296875,404691.42578125
20,1959435.3408203125,404682.5546875
21,1960520.7060546875,404685.150390625
22,1959859.67578125,404675.4814453125
23,1959426.6640625,404676.693359375
24,1960373.939453125,404648.0478515625
25,1960643.6064453125,404659.98828125
26,1964862.8603515625,404656.654296875
27,1959656.6142578125,404624.0732421875
28,1959767.9697265625,404544.33203125
29,1960078.43359375,404524.6328125
30,1959228.619140625,404530.208984375
31,1959050.849609375,404489.1025390625
32,1959192.220703125,404483.8681640625
33,1959848.6064453125,404489.1845703125
34,1959310.099609375,404479.458984375
35,1959753.2060546875,404458.58203125
36,1958890.384765625,404465.4248046875
37,1958656.8662109375,404476.6337890625
38,1957124.1826171875,404493.044921875
39,1957617.40234375,404482.435546875
40,1958360.12109375,404496.44921875
41,1957898.2568359375,404481.837890625
42,1957597.17578125,404493.2529296875
43,1958122.7685546875,404506.92578125
44,1957554.978515625,404499.970703125
45,1957283.8525390625,404503.7080078125
46,1957101.5703125,404482.0869140625
47,1956597.048828125,404485.02734375
48,1958599.9208984375,404497.5625
49,1957214.001953125,404488.029296875
50,1957232.6591796875,404471.3505859375
51,1958025.455078125,404461.7373046875
52,1958406.6455078125,404451.572265625
53,1957237.1162109375,404450.4736328125
54,1956875.1533203125,404425.89453125
55,1956434.7353515625,404401.4853515625
56,1956618.419921875,404385.1416015625
57,1955820.3369140625,404437.5
58,1956962.8134765625,404412.3466796875
59,1956714.806640625,404378.1953125
60,1955590.9775390625,404367.0859375
61,1955355.8544921875,404401.8798828125
62,1955372.564453125,404359.3701171875
63,1954896.61328125,404382.400390625
64,1956118.36328125,404377.01171875
65,1955672.271484375,404344.283203125
66,1954995.7080078125,404318.44140625
67,1955435.662109375,404349.0615234375
68,1955728.1044921875,404322.1064453125
69,1955563.64453125,404265.9052734375
70,1954746.7919921875,404293.9970703125
71,1954615.3583984375,404298.5537109375
72,1954682.994140625,404278.3330078125
73,1955621.7294921875,404248.173828125
74,1955592.1171875,404243.66796875
75,1954226.51171875,404229.318359375
76,1954476.693359375,404250.6650390625
77,1953641.3447265625,404234.583984375
78,1954681.4775390625,404264.48046875
79,1955160.6015625,404248.3671875
80,1955221.728515625,404236.6083984375
81,1955465.212890625,404240.4306640625
82,1953621.708984375,404252.42578125
83,1954036.2333984375,404249.2412109375
84,1954817.4814453125,404238.1162109375
85,1954632.6484375,404244.88671875
86,1953441.0068359375,404231.1484375
87,1954282.353515625,404235.234375
88,1953721.5146484375,404228.5888671875
89,1953721.734375,404226.0908203125
90,1954849.4072265625,404208.296875
91,1953216.279296875,404234.509765625
92,1953306.5029296875,404216.50390625
93,1952419.4140625,404234.91015625
94,1952805.4208984375,404234.5029296875
95,1953343.0390625,404236.30078125
96,1952701.6396484375,404247.9716796875
97,1953069.6533203125,404251.048828125
98,1954074.2919921875,404235.3076171875
99,1952032.197265625,404220.947265625
100,1953614.1484375,404202.7763671875
101,1953468.455078125,404255.6357421875
102,1954713.486328125,404246.5244140625
103,1953093.599609375,404251.51171875
104,1952735.7421875,404246.0771484375
105,1952987.7861328125,404256.8212890625
106,1951504.7158203125,404266.4619140625
107,1952749.1669921875,404243.0517578125
108,1952532.1650390625,404256.19921875
109,1950971.43359375,404259.990234375
110,1951039.0009765625,404259.64453125
111,1951759.7900390625,404284.0126953125
112,1952044.9521484375,404289.6171875
113,1952720.1708984375,404286.498046875
114,1953503.6162109375,404293.8349609375
115,1951524.779296875,404317.3818359375
116,1950708.0439453125,404284.1904296875
117,1951875.26171875,404278.466796875
118,1952241.0341796875,404264.814453125
119,1950284.67578125,404271.236328125
120,1951812.548828125,404258.0146484375
121,1951501.228515625,404280.439453125
122,1950880.068359375,404304.369140625
123,1950596.291015625,404281.98828125
124,1950428.8115234375,404260.646484375
125,1950452.2431640625,404261.9697265625
126,1948797.884765625,404296.005859375
127,1952419.322265625,404261.9638671875
128,1951496.7041015625,404300.25
129,1950439.93359375,404310.408203125
130,1949240.771484375,404279.1748046875
131,1948962.16796875,404256.6396484375
132,1950642.9111328125,404301.15234375
133,1948543.3818359375,404297.87890625
134,1949698.1806640625,404261.07421875
135,1949800.9765625,404284.6328125
136,1949628.5927734375,404319.2958984375
137,1947666.537109375,404315.70703125
138,1948488.421875,404316.5
139,1948497.078125,404324.0185546875
140,1948408.603515625,404305.5810546875
141,1950285.2509765625,404320.06640625
142,1948669.650390625,404359.5439453125
143,1947327.60546875,404311.638671875
144,1948053.494140625,404334.03125
145,1947437.5927734375,404349.26171875
146,1948261.98828125,404307.8271484375
147,1948730.2978515625,404328.9248046875
148,1948361.4130859375,404330.515625
149,1948700.7119140625,404320.056640625
150,1948708.0751953125,404334.3359375
151,1946420.4619140625,404366.447265625
152,1946101.21875,404388.568359375
153,1947992.0595703125,404346.310546875
154,1947028.32421875,404358.759765625
155,1947245.1611328125,404348.9072265625
156,1947013.802734375,404358.552734375
157,1947574.0517578125,404377.486328125
158,1947825.3798828125,404373.2998046875
159,1946027.8330078125,404333.18359375
160,1945532.4033203125,404342.859375
161,1946866.5625,404377.4599609375
162,1946958.74609375,404347.2841796875
163,1945875.861328125,404397.744140625
164,1946775.4013671875,404345.2001953125
165,1946270.8154296875,404373.61328125
166,1945406.7255859375,404413.8095703125
167,1946211.3076171875,404424.0888671875
168,1946047.1806640625,404393.0947265625
169,1947608.943359375,404315.9072265625
170,1946375.126953125,404356.958984375
171,1945375.7060546875,404385.18359375
172,1945905.7802734375,404362.4287109375
173,1945436.744140625,404436.310546875
174,1946113.009765625,404378.3974609375
175,1944968.744140625,404376.94921875
176,1944623.3662109375,404392.70703125
177,1944374.3017578125,404420.3349609375
178,1945493.8974609375,404402.087890625
179,1945394.009765625,404411.7109375
180,1944639.283203125,404398.4365234375
181,1945677.2333984375,404381.07421875
182,1946092.296875,404410.4599609375
183,1945044.416015625,404405.935546875
184,1943607.521484375,404416.451171875
185,1944388.94921875,404439.58203125
186,1943448.2490234375,404414.115234375
187,1943544.8388671875,404451.330078125
188,1944307.4765625,404420.7451171875
189,1943834.828125,404440.638671875
190,1944653.6845703125,404424.78125
191,1944404.017578125,404388.779296875
192,1944455.11328125,404412.2275390625
193,1942942.419921875,404438.869140625
194,1942497.0859375,404405.9013671875
195,1942437.4228515625,404436.123046875
196,1943214.8212890625,404420.931640625
197,1942404.0205078125,404431.4619140625
198,1941853.3740234375,404435.0537109375
199,1941581.0966796875,404457.0087890625
200,1942834.86328125,404449.8154296875
201,1942707.783203125,404469.4755859375
202,1941863.8828125,404428.4296875
203,1941912.75390625,404480.208984375
204,1941775.98828125,404498.841796875
205,1941699.9404296875,404477.4873046875
206,1942063.224609375,404482.5556640625
207,1940653.611328125,404459.6357421875
208,1940949.9873046875,404437.94921875
209,1941253.791015625,404480.6474609375
210,1942023.3876953125,404468.9228515625
211,1941456.3330078125,404464.0595703125
212,1940524.0263671875,404475.771484375
213,1941154.8642578125,404454.1396484375
214,1940529.7802734375,404396.88671875
215,1941189.3779296875,404425.5830078125
216,1941575.904296875,404437.3427734375
217,1940396.595703125,404465.1591796875
218,1940713.865234375,404474.3828125
219,1940812.580078125,404477.3388671875
220,1940995.1689453125,404470.486328125
221,1940393.939453125,404474.9482421875
222,1940753.8955078125,404433.92578125
223,1940040.4912109375,404445.5849609375
224,1940405.0380859375,404535.1962890625
225,1941377.2236328125,404481.955078125
226,1941288.8984375,404520.9970703125
227,1941676.2041015625,404488.2431640625
228,1940634.1171875,404510.357421875
229,1939488.9287109375,404590.455078125
230,1939431.5908203125,404546.5126953125
231,1940528.068359375,404535.423828125
232,1940230.173828125,404495.9345703125
233,1939284.3154296875,404476.3369140625
234,1938420.236328125,404512.517578125
235,1939181.8662109375,404547.1904296875
236,1940266.544921875,404521.134765625
237,1938549.814453125,404541.2578125
238,1939021.8134765625,404468.0673828125
239,1939198.4658203125,404572.0849609375
240,1939435.279296875,404525.0244140625
241,1938778.0546875,404496.9755859375
242,1938942.7607421875,404514.6328125
243,1938568.685546875,404620.41015625
244,1938629.9306640625,404534.0537109375
245,1939424.3828125,404551.4326171875
246,1937302.3515625,404566.62890625
247,1938095.2109375,404601.61328125
248,1939187.734375,404566.7373046875
249,1938017.6767578125,404564.708984375
250,1937882.2978515625,404541.7353515625
