epoch,training loss,validation loss
0,14.427420787513256,2.214241480920464
1,9.687420870177448,3.308225618675351
2,9.118499322794378,1.7890688297338784
3,8.708038506563753,1.8168055387213826
4,8.64396351389587,2.01394623471424
5,8.335673341993243,1.7106057647615671
6,8.319380803965032,1.6987486304715276
7,8.398193904198706,1.7564628622494638
8,8.175563842523843,1.7053012638352811
9,8.147032261826098,1.66819934733212
10,8.016143396031111,1.7823773296549916
11,8.140173106919974,1.6705971844494343
12,8.177251366898417,1.6484764744527638
13,8.008255797438323,1.781756681855768
14,7.978790189605206,1.7547310860827565
15,7.9712888933718204,1.6575693897902966
16,7.928185316268355,1.6508705103769898
17,7.898443297017366,1.6647432805038989
18,7.8561431197449565,1.669915129430592
19,7.778588220477104,1.6462895781733096
20,7.88125443411991,1.667727748863399
21,7.8112007370218635,1.6229414478875697
22,7.803423684556037,1.6640468090772629
23,7.770458756946027,1.676950885914266
24,7.68936647195369,1.661477491259575
25,7.673407738097012,1.6665307763032615
26,7.660137220984325,1.6857652720063925
27,7.788083649240434,1.6369084101170301
28,7.662712259683758,1.6471730913035572
29,7.665690361522138,1.7819267944432795
30,7.694453170988709,1.630423572845757
31,7.712329407222569,1.6516393339261413
32,7.757158066146076,1.6822703243233263
33,7.590189851820469,1.6121906507760286
34,7.641562754288316,1.6731672529131174
35,7.669492083135992,1.6559680616483092
36,7.551690315827727,1.6108139203861356
37,7.514871999388561,1.6645807013846934
38,7.602265913505107,1.7255194778554142
39,7.592745707836002,1.6594232632778585
