epoch,training loss,validation loss
0,40097.46960449219,8263.444946289062
1,31812.915985107422,8251.087783813477
2,31797.25082397461,8246.690994262695
3,31780.646118164062,8242.094741821289
4,31762.55921936035,8236.537689208984
5,31245.9481048584,7963.852554321289
6,30697.87400817871,7847.787658691406
7,29974.009307861328,7710.940933227539
8,29604.629791259766,7551.541458129883
9,29221.182022094727,7478.946548461914
10,28375.203674316406,7215.2171630859375
11,27529.489837646484,6961.871154785156
12,26537.341033935547,6788.3905029296875
13,25602.06736755371,6482.7020263671875
14,24903.921157836914,6376.688812255859
15,24506.268142700195,6284.771148681641
16,24237.752319335938,6198.967102050781
17,24024.37451171875,6167.444915771484
18,23849.8136138916,6155.748458862305
19,23637.23277282715,6076.855667114258
20,23522.919403076172,6069.613662719727
21,23398.165908813477,6035.81330871582
22,23214.443466186523,6001.463165283203
23,23071.651306152344,5949.547546386719
24,22893.92189025879,5898.042098999023
25,22795.882705688477,5878.13493347168
26,22629.873321533203,5834.352096557617
27,22463.64678955078,5809.811294555664
28,22309.44236755371,5756.667175292969
29,22266.11653137207,5734.550079345703
30,22117.153610229492,5699.568298339844
31,22002.22445678711,5719.794998168945
32,21918.793411254883,5663.606857299805
33,21826.2149810791,5657.556549072266
34,21716.110641479492,5628.5924072265625
35,21629.540985107422,5584.884262084961
36,21577.954025268555,5639.28288269043
37,21514.661331176758,5548.773483276367
38,21414.74072265625,5543.584548950195
39,21348.419891357422,5544.587188720703
40,21309.00733947754,5523.947555541992
41,21285.31478881836,5512.190155029297
42,21210.761322021484,5521.143814086914
43,21183.009979248047,5480.228912353516
44,21119.81590270996,5460.853408813477
45,21109.748992919922,5464.978561401367
46,21062.757553100586,5455.065399169922
47,21018.48907470703,5489.333145141602
48,21002.494232177734,5463.258728027344
49,20990.146209716797,5436.556427001953
