epoch,training loss,validation loss
0,106607.73181152344,24538.800537109375
1,91184.82099914551,19195.41911315918
2,56622.68478393555,12821.916275024414
3,48046.33493041992,12131.996551513672
4,45893.120666503906,11585.325286865234
5,44746.3254699707,11372.126205444336
6,44098.693099975586,11226.400604248047
7,43464.92381286621,11132.916931152344
8,43157.11975097656,11064.24838256836
9,42789.033950805664,11047.546188354492
10,42497.74935913086,10882.776168823242
11,42161.62621307373,10878.669982910156
12,41981.314865112305,10816.893478393555
13,41763.65608215332,10744.558502197266
14,41579.46144104004,10793.169448852539
15,41414.24989318848,10659.326858520508
16,41229.43130493164,10626.030410766602
17,41050.2014465332,10588.54377746582
18,40963.86329650879,10597.447998046875
19,40802.92955780029,10586.894592285156
20,40656.62242126465,10546.424865722656
21,40563.834213256836,10489.567092895508
22,40490.74600982666,10468.340545654297
23,40407.73124694824,10505.247589111328
24,40307.37306213379,10414.49690246582
25,40197.73910522461,10411.02643585205
26,40171.85625457764,10442.283340454102
27,40089.293533325195,10367.205520629883
28,40011.6805267334,10367.686637878418
29,39929.109771728516,10359.048721313477
30,39966.735260009766,10391.016555786133
31,39861.487045288086,10341.7212600708
32,39800.43246459961,10345.62759399414
33,39797.21873474121,10304.93448638916
34,39726.044982910156,10296.131019592285
35,39697.36521148682,10289.930450439453
36,39685.15106201172,10283.813354492188
37,39640.56502532959,10296.700294494629
38,39611.320739746094,10273.921157836914
39,39599.043853759766,10312.838890075684
40,39556.69105529785,10259.094284057617
41,39533.05421447754,10275.840019226074
42,39527.33994293213,10251.522338867188
43,39493.30293273926,10247.017692565918
44,39473.060806274414,10243.205825805664
45,39465.19822692871,10236.34334564209
46,39443.863357543945,10240.994789123535
47,39433.98603820801,10233.333961486816
48,39412.80976867676,10241.246894836426
49,39416.0379486084,10232.703384399414
50,39398.39797973633,10229.609214782715
51,39392.79500579834,10229.831687927246
52,39379.93305969238,10220.22348022461
53,39361.93280792236,10221.175064086914
54,39362.54967498779,10219.777885437012
55,39333.512786865234,10216.314018249512
56,39334.99011993408,10221.911109924316
57,39336.07661437988,10214.599754333496
58,39324.76932525635,10211.930908203125
59,39317.57956695557,10211.815147399902
60,39318.450538635254,10213.506401062012
61,39311.87366485596,10209.44295501709
62,39302.282958984375,10209.706443786621
63,39302.91342163086,10215.053344726562
64,39305.67876434326,10206.084747314453
65,39309.64255523682,10206.301544189453
66,39282.09687805176,10214.783020019531
67,39300.512367248535,10209.09829711914
68,39278.14782714844,10203.181900024414
69,39280.757820129395,10203.370544433594
70,39269.62863922119,10201.785705566406
71,39273.9299697876,10202.215393066406
72,39277.348861694336,10202.312759399414
73,39271.11284637451,10201.806266784668
74,39263.718811035156,10201.506446838379
